Date,AEFES.IS,AKBNK.IS,ASELS.IS,ASTOR.IS,BIMAS.IS,ENKAI.IS,EREGL.IS,FROTO.IS,GARAN.IS,GUBRF.IS,ISCTR.IS,KCHOL.IS,KOZAL.IS,KRDMD.IS,MGROS.IS,PETKM.IS,PGSUS.IS,SAHOL.IS,SASA.IS,SISE.IS,SKBNK.IS,TAVHL.IS,TCELL.IS,THYAO.IS,TOASO.IS,TTKOM.IS,TUPRS.IS,ULKER.IS,VAKBN.IS,YKBNK.IS
2024-12-16,22.123374938964844,61.33179473876953,67.46404266357422,103.58745574951172,501.1468200683594,50.76124954223633,25.81599235534668,90.54399871826172,123.24313354492188,272.0,13.13584041595459,185.636474609375,23.5,29.81999969482422,513.0166625976562,18.950000762939453,224.6999969482422,93.97171020507812,4.309999942779541,41.002464294433594,4.894258975982666,288.0,94.07894134521484,288.6692810058594,186.39810180664062,46.900001525878906,135.0716094970703,106.06071472167969,22.399999618530273,29.65999984741211
2024-12-17,21.8853816986084,61.33179473876953,67.96340942382812,103.48880767822266,506.5197448730469,52.04695129394531,25.915056228637695,89.80562591552734,125.84685516357422,273.75,13.20482063293457,185.34983825683594,23.540000915527344,29.920000076293945,513.0166625976562,19.020000457763672,225.5,95.32173919677734,4.260000228881836,40.39429473876953,4.88435173034668,291.5,93.83406829833984,290.86724853515625,181.3603057861328,47.040000915527344,134.980712890625,104.48738861083984,22.65999984741211,29.540000915527344
2024-12-18,21.994462966918945,61.52743148803711,70.65997314453125,101.61436462402344,499.1360778808594,51.61838150024414,25.53861427307129,88.328857421875,123.82173156738281,283.0,13.06686019897461,181.0504913330078,23.65999984741211,28.700000762939453,500.7786560058594,18.559999465942383,221.39999389648438,94.30921936035156,4.159999847412109,40.92399597167969,4.8546295166015625,288.5,95.25431060791016,283.78485107421875,176.69569396972656,46.84000015258789,132.98101806640625,100.97053527832031,22.68000030517578,29.399999618530273
2024-12-19,22.222537994384766,59.81562042236328,69.81105041503906,102.20629119873047,494.213623046875,49.99935531616211,25.063108444213867,87.91352081298828,120.253662109375,282.25,12.9486083984375,176.46450805664062,23.360000610351562,28.059999465942383,495.88348388671875,18.479999542236328,222.1999969482422,91.22343444824219,4.119999885559082,41.45368957519531,4.755555629730225,285.0,91.67921447753906,282.8079528808594,171.84449768066406,45.439998626708984,131.2539825439453,100.6928939819336,22.399999618530273,29.0
2024-12-20,23.26375389099121,59.37543869018555,69.711181640625,105.56055450439453,487.0760803222656,48.427947998046875,24.86498260498047,87.6366195678711,120.92870330810547,281.0,12.95846176147461,173.88490295410156,22.360000610351562,27.959999084472656,486.8273620605469,18.610000610351562,221.3000030517578,90.64485168457031,4.039999961853027,42.76811981201172,4.7753705978393555,285.75,89.57333374023438,283.05218505859375,174.36338806152344,44.5,132.2538299560547,100.04505157470703,22.540000915527344,28.600000381469727
2024-12-23,22.75802230834961,58.00598907470703,71.95832061767578,105.65921020507812,483.3842468261719,48.666038513183594,24.72629165649414,85.88296508789062,120.92870330810547,278.75,12.662832260131836,172.4517822265625,21.899999618530273,28.15999984741211,477.2817077636719,18.34000015258789,217.3000030517578,88.71623992919922,4.050000190734863,43.43514633178711,4.696110725402832,281.5,88.8387222290039,279.3888854980469,177.9084930419922,44.2400016784668,130.25411987304688,97.91643524169922,22.700000762939453,28.239999771118164
2024-12-24,23.323253631591797,58.93525695800781,72.55755615234375,105.0672836303711,481.16912841796875,48.666038513183594,24.627229690551758,86.06756591796875,121.9894790649414,276.75,12.850064277648926,171.9740753173828,21.719999313354492,28.459999084472656,484.6245422363281,18.149999618530273,216.89999389648438,91.07878875732422,4.039999961853027,42.55232238769531,4.7753705978393555,280.75,90.16102600097656,278.90045166015625,181.45361328125,43.900001525878906,129.52694702148438,101.24818420410156,22.940000534057617,28.420000076293945
2024-12-25,23.432331085205078,63.63051986694336,73.90583801269531,109.90135955810547,503.07403564453125,48.999366760253906,24.825355529785156,86.7136459350586,128.54702758789062,273.0,13.50045108795166,176.2734375,21.979999542236328,28.719999313354492,500.7786560058594,18.34000015258789,218.6999969482422,95.41816711425781,4.150000095367432,42.611175537109375,4.8546295166015625,281.75,91.82613372802734,281.5868835449219,185.65176391601562,44.720001220703125,130.70860290527344,101.80347442626953,23.65999984741211,30.799999237060547
2024-12-26,23.551328659057617,64.21742248535156,74.30532836914062,110.98656463623047,509.9654541015625,48.95175552368164,24.547977447509766,87.6366195678711,126.32902526855469,274.75,13.421616554260254,176.46450805664062,21.84000015258789,27.959999084472656,513.9957275390625,18.450000762939453,218.39999389648438,95.80389404296875,4.170000076293945,42.57194137573242,4.824907302856445,287.25,91.28742218017578,283.29638671875,189.19686889648438,45.63999938964844,130.61770629882812,106.3383560180664,23.5,30.65999984741211
2024-12-27,23.442249298095703,64.80432891845703,73.85589599609375,113.7489013671875,513.9034423828125,49.85649871826172,24.706480026245117,88.19041442871094,125.36468505859375,282.5,13.461033821105957,175.31802368164062,22.100000381469727,27.860000610351562,523.7861328125,18.829999923706055,219.3000030517578,96.62355041503906,4.179999828338623,42.866214752197266,4.83481502532959,284.25,92.11997985839844,284.0290832519531,191.156005859375,45.65999984741211,131.07217407226562,108.46697235107422,23.639999389648438,31.1200008392334
