Date,USDTRY=X
2024-12-16,34.95014953613281
2024-12-17,34.956600189208984
2024-12-18,35.009300231933594
2024-12-19,35.04899978637695
2024-12-20,35.1396484375
2024-12-23,35.13113021850586
2024-12-24,35.23160171508789
2024-12-25,34.883888244628906
2024-12-26,35.11949157714844
2024-12-27,35.23429870605469
2024-12-30,35.1602897644043
2024-12-31,35.30524826049805
2025-01-02,35.374000549316406
2025-01-03,35.3922004699707
2025-01-06,35.28929901123047
2025-01-07,35.34479904174805
2025-01-08,35.32183074951172
2025-01-09,35.34980010986328
2025-01-10,35.38059997558594
2025-01-13,35.39105987548828
2025-01-14,35.48419952392578
2025-01-15,35.469398498535156
2025-01-16,35.472900390625
2025-01-17,35.54610061645508
2025-01-20,35.547271728515625
2025-01-21,35.580101013183594
2025-01-22,35.6348991394043
2025-01-23,35.64469909667969
2025-01-24,35.67430114746094
2025-01-27,35.59360122680664
2025-01-28,35.75226974487305
2025-01-29,35.702980041503906
2025-01-30,35.79267120361328
2025-01-31,35.853031158447266
2025-02-03,35.87181854248047
2025-02-04,35.9734001159668
2025-02-05,35.96950149536133
2025-02-06,35.910301208496094
2025-02-07,35.95558166503906
2025-02-10,35.89970016479492
2025-02-11,35.99263000488281
2025-02-12,35.99468994140625
2025-02-13,36.11600112915039
2025-02-14,36.1963005065918
2025-02-17,36.20355987548828
2025-02-18,36.233280181884766
2025-02-19,36.29280090332031
2025-02-20,36.30720138549805
2025-02-21,36.3856315612793
2025-02-24,36.446998596191406
2025-02-25,36.454341888427734
2025-02-26,36.461299896240234
2025-02-27,36.45940017700195
2025-02-28,36.517799377441406
2025-03-03,36.50695037841797
2025-03-04,36.43709945678711
2025-03-05,36.432498931884766
2025-03-06,36.4114990234375
2025-03-07,36.487701416015625
2025-03-10,36.48583984375
2025-03-11,36.571380615234375
2025-03-12,36.59619903564453
2025-03-13,36.59230041503906
2025-03-14,36.67959976196289
2025-03-17,36.6391716003418
2025-03-18,36.63199996948242
2025-03-19,36.69559860229492
2025-03-20,37.99319839477539
2025-03-21,37.94593811035156
2025-03-24,37.976688385009766
2025-03-25,37.848541259765625
2025-03-26,37.98720169067383
2025-03-27,38.022098541259766
2025-03-28,38.003299713134766
2025-03-31,37.975101470947266
2025-04-01,37.898590087890625
2025-04-02,37.96049880981445
2025-04-03,37.944618225097656
2025-04-04,38.005699157714844
2025-04-07,38.00090026855469
2025-04-08,38.004798889160156
2025-04-09,38.007999420166016
2025-04-10,37.96289825439453
2025-04-11,38.03559875488281
2025-04-14,37.98509979248047
2025-04-15,38.03839874267578
2025-04-16,38.17060089111328
2025-04-17,38.14339828491211
2025-04-22,38.235801696777344
2025-04-23,38.280399322509766
2025-04-24,38.285621643066406
2025-04-25,38.415000915527344
2025-04-28,38.42399978637695
2025-04-29,38.44160079956055
2025-04-30,38.4994010925293
2025-05-01,38.5017204284668
2025-05-02,38.55839920043945
2025-05-05,38.57176971435547
2025-05-06,38.61050033569336
2025-05-07,38.63290023803711
2025-05-08,38.644100189208984
2025-05-09,38.7244987487793
2025-05-12,38.74020004272461
2025-05-13,38.78990173339844
2025-05-14,38.758480072021484
2025-05-15,38.7677001953125
2025-05-16,38.83620071411133
2025-05-19,38.856300354003906
2025-05-20,38.846099853515625
2025-05-21,38.83530044555664
2025-05-22,38.830101013183594
2025-05-23,39.033329010009766
2025-05-26,39.00040054321289
2025-05-27,38.993900299072266
2025-05-28,39.05950164794922
2025-05-29,39.09429168701172
2025-05-30,39.20848846435547
2025-06-02,39.254398345947266
2025-06-03,39.145301818847656
2025-06-04,39.14459991455078
2025-06-05,39.264400482177734
2025-06-06,39.282501220703125
2025-06-09,39.24409866333008
2025-06-10,39.29912185668945
2025-06-11,39.19559860229492
2025-06-12,39.129539489746094
2025-06-13,39.395599365234375
2025-06-16,39.36800003051758
2025-06-17,39.38759994506836
2025-06-18,39.52090072631836
2025-06-19,39.53409957885742
2025-06-20,39.663700103759766
2025-06-23,39.72050094604492
2025-06-24,39.67070007324219
2025-06-25,39.6245002746582
2025-06-26,39.75859832763672
2025-06-27,39.85430145263672
2025-06-30,39.89059829711914
2025-07-01,39.82659912109375
2025-07-02,39.83879852294922
2025-07-03,39.904701232910156
2025-07-04,39.82059860229492
2025-07-07,39.95100021362305
2025-07-08,40.00320053100586
2025-07-09,40.02954864501953
2025-07-10,40.04629898071289
2025-07-11,40.15909957885742
2025-07-14,40.19459915161133
2025-07-15,40.226898193359375
2025-07-16,40.25429916381836
2025-07-17,40.240699768066406
2025-07-18,40.33599853515625
2025-07-21,40.394500732421875
2025-07-22,40.40439987182617
2025-07-23,40.433998107910156
2025-07-24,40.45109939575195
2025-07-25,40.5359992980957
2025-07-28,40.54029846191406
2025-07-29,40.56169891357422
2025-07-30,40.571998596191406
2025-07-31,40.58700180053711
2025-08-01,40.66279983520508
2025-08-04,40.677799224853516
2025-08-05,40.67490005493164
2025-08-06,40.66899871826172
2025-08-07,40.659400939941406
2025-08-08,40.656009674072266
2025-08-11,40.74729919433594
2025-08-12,40.708499908447266
2025-08-13,40.755001068115234
2025-08-14,40.781898498535156
2025-08-15,40.846900939941406
2025-08-18,40.89889907836914
2025-08-19,40.88309860229492
2025-08-20,40.86960983276367
2025-08-21,40.911800384521484
2025-08-22,41.007598876953125
2025-08-25,40.96030044555664
2025-08-26,41.003501892089844
2025-08-27,41.037498474121094
2025-08-28,41.05189895629883
2025-08-29,41.140499114990234
2025-09-01,41.142398834228516
2025-09-02,41.14289855957031
2025-09-03,41.16619873046875
2025-09-04,41.158599853515625
